Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-09-03,10,201,"4,98%",BRL,"0,93","9,31","1,00",0,"9,31","10,00%","Contato: 1,00; Contato: 1,00; Engajamento: 15,00; Ver rotas: 1,00; Visualização de página: 5,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-03,9,237,"3,80%",BRL,"1,46","13,12","0,00",0,0,"0,00%","Engajamento: 1,00; Ver rotas: 3,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-19,9,187,"4,81%",BRL,"0,66","5,93","2,00",0,"2,96","22,22%","Contato: 1,00; Engajamento: 23,00; Ver rotas: 3,00; Visualização de página: 2,00; Lead telefônico: 1,00; Visita à loja: 2,00",1,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-02,9,163,"5,52%",BRL,"0,47","4,22","0,00",0,0,"0,00%","Engajamento: 26,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-23,9,118,"7,63%",BRL,"0,23","2,10","0,00",0,0,"0,00%","Engajamento: 4,00; Ver rotas: 4,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-11,9,194,"4,64%",BRL,"0,06","0,57","0,00",0,0,"0,00%","Engajamento: 4,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-17,9,234,"3,85%",BRL,"0,44","3,95","0,00",0,0,"0,00%","Engajamento: 1,00; Ver rotas: 1,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-01,9,330,"2,73%",BRL,"0,45","4,02","0,00",0,0,"0,00%","Engajamento: 32,00; Ver rotas: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-03,9,248,"3,63%",BRL,"0,31","2,79","0,00",0,0,"0,00%","Engajamento: 21,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-04,9,307,"2,93%",BRL,"0,69","6,17","1,00",0,"6,17","11,11%","Contato: 2,00; Outro: 1,00; Engajamento: 17,00; Leads de mensagens: 1,00; Visualização de página: 1,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-05,9,276,"3,26%",BRL,"0,58","5,22","0,00",0,0,"0,00%","Engajamento: 15,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-07,9,296,"3,04%",BRL,"0,41","3,69","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 26,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-28,8,207,"3,86%",BRL,"0,32","2,52","0,00",0,0,"0,00%","Ver rotas: 1,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-18,8,78,"10,26%",BRL,"0,51","4,08","0,00",0,0,"0,00%","Engajamento: 23,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Visualização de página: 4,00; Visita à loja: 1,00",0,0,0,"1,00",0,"10,43%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-21,8,130,"6,15%",BRL,"0,35","2,80","0,00",0,0,"0,00%","Engajamento: 16,00; Ver rotas: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-04,8,157,"5,10%",BRL,"0,17","1,37","3,00",0,"0,46","37,50%","Contato: 2,00; Engajamento: 12,00; Visualização de página: 2,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-14,8,180,"4,44%",BRL,"0,37","2,97","2,00",0,"1,48","20,00%","Contato: 2,00; Engajamento: 10,00",1,0,0,"0,00",0,"10,23%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-20,8,134,"5,97%",BRL,"0,52","4,17","0,00",0,0,"0,00%","Engajamento: 58,00",1,0,0,"0,00",0,"14,99%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-22,8,140,"5,71%",BRL,"0,42","3,36","0,00",0,0,"0,00%","Engajamento: 22,00; Visualização de página: 1,00",0,0,0,"0,00",0,"10,78%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-09-02,8,204,"3,92%",BRL,"0,24","1,94","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 22,00; Leads de mensagens: 2,00; Visualização de página: 5,00",0,0,0,"0,00",0,"27,61%",0,0
